category,name,price,product_number,subcategory,subtitle
Гейминг периферия,"
Hama USB-C Hub
",56.09,HAMA-200107,USB хъбове,"4-портов хъб USB-C HAMA Aluminium, USB 3.1 Gen1, 2 x USB-A, 1 x USB-C, 1х HDMI, Сребрист"
Гейминг периферия,"
Hama USB Hub 4 Ports USB 3.0
",50.51,HAMA-200115,USB хъбове,"USB хъб със захранване HAMA, USB 3.0, 1:4, 5Gbit/s"
Гейминг периферия,"
Hama USB-C Hub, Multiport, 5 Ports, 3 x USB-A, USB-C, HDMI
",49.06,HAMA-200117,USB хъбове,"5-портов хъб HAMA 200117, 3 x USB-A, 1 x USB-C, 1 x HDMI, 4К, Черен"
Гейминг периферия,"
Hama USB-C Hub
",35.0,HAMA-200112,USB хъбове,"USB хъб HAMA, USB-C 4-портов, USB 3.2 Gen 1, 5 Gbit/s, Черен"
Гейминг периферия,"
Hama USB 3.1 Type-C Hub 1:4 ""Aluminium""
",42.32,HAMA-135755,USB хъбове,"4-портов хъб USB-C HAMA Aluminium, USB 3.1, 2 x USB-A, 2 x USB-C, bus-powered, Сребрист"
Гейминг периферия,"
Hama USB Hub
",30.0,HAMA-200123,USB хъбове,"USB хъб със захранване HAMA, USB 2.0, 7-портов, 480 Mbit/s, Черен"
Гейминг периферия,"
Hama USB Hub
",27.94,HAMA-200116,USB хъбове,"USB хъб HAMA, USB-А 4-портов, USB 3.2 Gen 1, 5 Gbit/s, USB-C адаптер, Черен"
Гейминг периферия,"
Hama ""Mobil"" USB 3.0 Hub 1:2
",24.0,HAMA-54132,USB хъбове,"USB хъб HAMA ""Мобилен"", USB 3.0, 1:2, черен"
Гейминг периферия,"
Hama USB Hub 4 Ports USB 2.0
",24.0,HAMA-200122,USB хъбове,"USB хъб HAMA 4:1, Автономно захранване, USB 2.0, 480 Mbit/s, Черен"
Гейминг периферия,"
Hama USB Hub 4 Ports USB 2.0
",15.97,HAMA-200120,USB хъбове,"USB хъб HAMA, USB 2.0, 1:4, бял, 480Mbit/s"
Гейминг периферия,"
Hama USB Hub
",12.0,HAMA-200121,USB хъбове,"USB хъб HAMA, 4 портов, USB 2.0, 480 Mbit/s, Черен"
Гейминг периферия,"
Hama USB Hub 4 Ports USB 2.0
",15.97,HAMA-200119,USB хъбове,"USB хъб HAMA, USB 2.0, 1:4, черен, 480Mbit/s"
Гейминг периферия,"
Kingston FCR-HS4
",58.99,KIN-READ-FCR-HS4,Четци за карти,"Четец за карти Kingston FCR-HS4 USB 3.0, CompactFlash, SD, microSD, Memory Stick"
Гейминг периферия,"
SanDisk ImageMate PRO USB-C
",71.8,SD-SDDR-A631-GNGNN,Четци за карти,"Четец за карти SanDisk SDDR-A631-GNGNN, USB3.0, Черен"
Гейминг периферия,"
Kingston MobileLite Duo 3C Reader
",25.0,KIN-READ-FCR-ML3C,Четци за карти,"Четец за карти KINGSTON MobileLite Duo 3C, USB 3.1 + Type-C"
Гейминг периферия,"
Kingston MobileLite Plus SD Reader
",23.9,KIN-READ-MLP,Четци за карти,"Четец за карти Kingston MobileLite Plus SD, USB 3.2, SD/SDHC/SDXC"
Гейминг периферия,"
Kingston MobileLite Plus microSD Reader
",23.56,KIN-READ-MLPM,Четци за карти,"Четец за карти Kingston MobileLite Plus microSD, USB 3.2, microSD/microSDHC/microSDXC"
Гейминг периферия,"
Hama ""All in One"" USB Card Reader
",21.49,HAMA-200129,Четци за карти,"Четец за карти HAMA All in One, USB 2.0, SD/microSD/CF/MS, 480 Mbps, Сребрист"
Гейминг периферия,"
Hama USB OTG Hub / Card Reader
",20.08,HAMA-200125,Четци за карти,"Четец за карти HAMA USB OTG Hub, USB 2.0 Type-A, SD, microSD, USB-A адаптер"
Гейминг периферия,"
Estillo SimCard Reader
",16.8,EST-READER-SIM,Четци за карти,"Четец за Sim карти ESTILLO, USB 2.0"
Гейминг периферия,"
Hama USB 3.0 Multi Card Reader
",17.14,HAMA-124022,Четци за карти,"Четец за карти HAMA Multi, USB 3.0, SD/microSD/CF, 5 Gbps, Черен"
Гейминг периферия,"
SanDisk MicroMATE USB Card Reader USB 2.0
",15.85,SD-SDDR-121-E12M,Четци за карти,"Четец за карти SanDisk MicroMATE USB Card Reader USB 2.0, microSD"
Гейминг периферия,"
Hama ""8in1"" USB 2.0 Card Reader
",10.78,HAMA-91092,Четци за карти,"Четец за карти HAMA 91092, 8 в 1, USB 2.0, SD/microSD"
Гейминг периферия,"
Hama USB card reader
",9.05,HAMA-200132,Четци за карти,"Четец за карти HAMA, USB 2.0, SD/microSD, SD/SDHC/SDXC, Черен"
Гейминг хардуер,"
Estillo PCI-E to IEEE 1394 Firewire
",33.6,EST-PCI-ex-1394,Контролери,Контролер ESTILLO 1394AV 3+1 port 1394 FireWire PCI ex Host Adapter
Гейминг хардуер,"
Delock RGB Hub for ARGB LEDs
",45.79,DELOCK-64128,RGB аксесоари,"RGB хъб Delock 64128, 10 портов ARGB LEDs, Черен"
Гейминг хардуер,"
Hitachi GTC2N
",41.72,DVD-RW-HLDS-GTC2N,Оптични устройства,"Записващо устройство Hitachi GTC2N, за вграждане в лаптоп, SATA, Черен"
Гейминг хардуер,"
Portable USB 3.1 Gen1 (USB 3.0) M.2 SATA SSD Enclosure
",57.9,EWENT-RACK-EW7023,Вътрешни дискове,"Чекмедже за твърд диск Ewent EW7023, M.2 NVMe SSD, USB-C 3.1 Gen1, Черен"
Гейминг хардуер,"
Kingston A400 120GB
",57.89,KIN-SSD-SA400S37120G,Вътрешни дискове,Solid State Drive (SSD) KINGSTON A400
Гейминг хардуер,"
Ewent EW7072
",56.96,EWENT-RACK-EW7072,Вътрешни дискове,"Чекмедже за твърд диск Ewent EW7072, 2.5"", SATA, USB-C 3.2 Gen2 (USB 3.1), Черен"
Гейминг хардуер,"
Ewent EW7047
",55.32,EWENT-RACK-EW7047,Вътрешни дискове,"Чекмедже за твърд диск Ewent EW7047 3.5"", SATA / IDE, USB 2.0, Черен"
Гейминг хардуер,"
ACT 3.5"" SATA hard drive enclosure, screwless, USB 3.2 Gen1
",45.58,EWENT-ACT-RACK-AC1405,Вътрешни дискове,"Чекмедже за твърд диск ACT AC1405, 3.5"", SATA, USB 3.1 Gen1 (USB 3.0), Черен"
Гейминг хардуер,"
Ewent EW7051
",42.41,EWENT-RACK-EW7051,Вътрешни дискове,"Кутийка за твърд диск Ewent EW7051, 3.5"", SATA, USB 2.0, Черен"
Гейминг хардуер,"
GIGABYTE SSD 120GB
",47.95,GA-SSD-120GB,Вътрешни дискове,"Solid State Drive (SSD) Gigabyte 120, 7mm"
Гейминг хардуер,"
Team Group MS30 128GB
",42.92,TEAM-SSD-MS30-128GB,Вътрешни дискове,Solid State Drive (SSD) Team Group MS30
Гейминг хардуер,"
Team Group GX2 128GB
",41.89,TEAM-SSD-GX2-128GB,Вътрешни дискове,Solid State Drive (SSD) Team Group GX2
Гейминг хардуер,"
ACT USB-C 3.2 Gen2 2.5 inch HDD/SSD Enclosure
",27.32,EWENT-ACT-RACK-AC1215,Вътрешни дискове,"Чекмедже за твърд диск ACT AC1215, 2.5"", USB 3.0, Черен"
Гейминг хардуер,"
Thermal Grizzly M.2 SSD Cooler
",27.13,TG-ZUWA-164,Вътрешни дискове,Thermal Grizzly M.2 SSD пасивен охладител
Гейминг хардуер,"
Corsair Dual SSD Mounting Bracket White
",16.7,CRS-ACC-CSSD-BRKT2W,Вътрешни дискове,"Скоби за монтиране Corsair HDD/SSD Mounting Kit - Dual 2.5"" to 3.5"", White"
Гейминг хардуер,"
Hama ""EVA"" HDD Case
",15.6,HAMA-84113,Вътрешни дискове,"Калъф за твърд диск HAMA EVA 84113, 2.5"", Черен"
Гейминг хардуер,"
Hama Mounting Frame 2.5"" on 3.5""
",12.78,HAMA-39830,Вътрешни дискове,"Монтажна рамка HAMA 39830, за монтаж на 2.5 "" в гнездо 3.5"", за SSD твърди дискове"
Гейминг хардуер,"
Silicon Power Armor A30
",24.0,SLP-HDD-CASE-A30,Вътрешни дискове,"Удароустойчивa кутийка за 2.5"" диск Silicon Power Armor A30 USB 3.1"
Гейминг хардуер,"
Hama ""Black Bird"" HDD Case
",11.96,HAMA-84127,Вътрешни дискове,"Калъф за твърд диск HAMA Black Bird 84127, 2.5"", Черен"
